"","id","name","host_id"
"119",310722,"Cozy Central Apartment Amsterdam",1598424
"120",311124,"*historic centre* *bright* *canal view* *jordaan*",1600010
"121",311584,"40 m2 Appartment near Leidseplein",1023895
"122",314235,"Ground floor apartment with patio in De Pijp",1613017
"123",314673,"""The Roosevelt Apt""  Amsterdam RAI",1616799
"124",319985,"Elegant Appartement Central Location.",1640702
"125",320689,"Familyhome easy airport connection!",1642815
"126",327285,"beautiful designed ap.+bikes+garden",1672823
"127",331946,"Lovely FAMILY house near Vondelpark",1687595
"128",340994,"Stay at 'Perfect appartement in the center' by the",1730202
"129",343094,"Amstel Nest - an urban retreat for two",1740785
"130",345397,"SPACIOUS historical Amsterdam apartment 120m2",1751751
"131",350271,"Luxe boat AMSTERDAM IJBURG!!!",1775032
"132",357932,"Amsterdam appartment + southgarden",1811552
"133",357980,"★ STYLISH FAMILY HOME - CITY CENTER",1811745
"134",361342,"★ Stunning City Centre Apartment #3",1826139
"135",362458,"Bright, newly renovated apartment in Center-East",1831568
"136",367107,"PEACEFUL HOME IN HISTORIC CENTRE, NEXT TO AMSTEL",1853421
"137",367491,"Charming,  bright and quiet home center Amsterdam",1855417
"138",378523,"Freedom on the water!",1901477
"139",379885,"Private Studio Houseboat *BEST VIEW* @ Amstel",1907015
"140",384909,"Central Loft, Great Rooftop Terrace",1927004
"141",387644,"Lovely apt, Amsterdam /Jordaan.",1939619
"142",396125,"Room in Jordaan Heart of Amsterdam",1979865
"143",402353,"Comfortable design apartment with roof terrace",2008330
"144",406794,"Beautiful spacious 130m family home",325306
"145",408794,"Rooftop Terrace Luxury Loft Centre Amsterdam",2035506
"146",411401,"Beautiful apartment in AMS!",2048100
"147",414865,"Charming house, perfect for two!",2063261
"148",414917,"Cent Adam Lux (2-4p) Apt 90 sqm(m2)",2063612
"149",415619,"Sunny Amsterdam East Harbor View",1336633
"150",418098,"Beautiful 19th Cent. City Apartment",2078292
"151",422044,"★ City Centre Loft #4",1826139
"152",431635,"Sunny apartment with cat",1939922
"153",432233,"Beautiful apartment @ true center",2144360
"154",437757,"COOL DESIGN HOUSE with WiFi",2174719
"155",439097,"Bright apt in central Amsterdam",2181530
"156",440992,"Charming houseboat near Olympic St.",2191136
"157",441424,"Family house in centre of Amsterdam",2193861
"158",444935,"Fantastic apartment right in the city centre",2059471
"159",445660,"cosy room with private entrance",2202945
"160",446592,"Three colourful art rooms in trendy Pijp",1543378
"161",447151,"creative ground floor house close to Vondelpark",2220492
"162",450767,"Houseboat 'Saturnus' Amsterdam",2238440
"163",451719,"FABULOUS MODERN LOFT IN JORDAAN",2243649
"164",455881,"Superb, quiet home with garden!",81046
"165",460469,"Great apartment near the centre",1997447
"166",462341,"Central 17th Century Unique House",2297302
"167",463636,"GROUNDFLOOR IN WESTERPARK + WIFI and a comfy bed",860750
"168",467103,"Luxurious apartment @ Dam Square",2313040
"169",474452,"Amsterdam-Beatiful entire apartment",2352274
"170",480245,"Cosy apartment along the Amstel.",2378237
"171",481664,"Live the life of A'dam on water!",1382273
"172",483779,"Spacious studio apartment in A'dam",2395278
"173",484836,"Modern 3 bedroom apt. + garden near Jordaan",2396890
"174",489418,"Central quiet ap'ment with parcview",2418579
"175",490374,"Family apartment 80m2 near Vondelpark",2397045
"176",502869,"Light filled, split level, cosy and clean home",2480479
"177",503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843
"178",505012,"Centre Amsterdam perfect for family",1645998
"179",505650,"Stylish Design Apartment",2492723
"180",505804,"Light studio in centre of Amsterdam",2493425
"181",510836,"★ Combo City Centre Apartments",1826139
"182",514946,"Typical Amsterdam apt. in center",2536209
"183",515088,"Familyfriendly Suite incl breakfast",2536879
"184",515921,"Apartment near centre with amazing view over city",2541099
"185",517092,"4 bedroom apartment near the park",2041793
"186",517996,"Bright Canal house with amazing view! @the Jordaan",2550339
"187",522471,"Beautiful grand appartment (135 m2)",2569931
"188",526900,"BEAUTIFUL 3 BEDROOM 2 BALCONY • HEART OF AMSTERDAM",2589433
"189",528022,"Somewhere Else",2594559
"190",537321,"Comfortable and pleasant apartment",2639261
"191",538723,"Beautiful ground floor apartment",356740
"192",543930,"Family Friendly Spacious Appartment",2674073
"193",543932,"PLAYFUL SPLIT-LEVEL LOFT+GARDEN",2303229
"194",544506,"Luxury apartment + private garden",2677807
"195",549310,"3 bedrooms Apartment+Garden",2699033
"196",550783,"Charming canal apartment (75m2)",2707013
"197",551495,"Cosy Campervan Amsterdam",711896
"198",552145,"Near city center, green area, WIFI",2460631
