id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,MagicRating
130390,Large private room for rent Center / De Pijp,642044,Jessy,NA,De Pijp - Rivierenbuurt,52.35517,4.88969,Private room,80,2,29,2017-10-15,0.26,1,0,Low
137901,Houseboat with beautiful view,673879,Paulien,NA,Zuid,52.34751,4.84963,Entire home/apt,165,2,28,2018-02-01,0.26,1,0,High
141708,light modern & cosy apartment,689016,Cindy,NA,Oostelijk Havengebied - Indische Buurt,52.36674,4.93748,Entire home/apt,145,4,86,2020-01-02,0.75,2,0,High
148132,Bright room in lively Kinkerbuurt,715549,Remy,NA,De Baarsjes - Oud-West,52.3686,4.86487,Private room,37,2,4,2018-11-25,0.15,1,0,Low
155548,Apartment 2 minutes from Centrum!,748161,Maria,NA,Oud-Oost,52.36528,4.9301,Entire home/apt,150,7,21,2019-08-20,0.19,1,0,High
162467,Modern app. with brand new design bathroom,776296,Nicole,NA,De Baarsjes - Oud-West,52.36368,4.85506,Entire home/apt,160,3,56,2020-09-27,0.58,1,357,High
165833,Amsterdam at your feet,790547,Bart,NA,De Baarsjes - Oud-West,52.37336,4.85754,Entire home/apt,112,2,41,2020-03-10,0.54,1,191,Low
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,NA,Centrum-West,52.37956,4.89359,Private room,118,2,256,2019-12-31,2.28,2,0,Low
169356,"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",806976,Nick,NA,Centrum-West,52.38172,4.8831,Entire home/apt,157,7,22,2020-01-03,0.2,1,177,High
171054,Spacious apartment next to center,815989,Kamiel,NA,De Baarsjes - Oud-West,52.36916,4.86643,Entire home/apt,120,3,103,2018-11-28,0.9,1,0,Low
171498,Authentic Amsterdam Experience@Townhouse w/Rooftop,818319,Thijs,NA,Zuid,52.3559,4.87919,Entire home/apt,249,2,5,2020-03-02,0.45,1,161,High
171631,"Pleasant,cosy & crazy apartment with small balcony",818479,Keja,NA,De Baarsjes - Oud-West,52.36339,4.85402,Entire home/apt,97,4,48,2019-09-17,0.42,1,364,Low
174592,Cosy Apt | IN CITY CENTRE | Close to Artis Zoo,834139,Daniel,NA,Centrum-Oost,52.36208,4.9101,Entire home/apt,170,2,139,2019-09-29,1.22,1,0,High
175989,Cat lover's paradise in Amsterdam's hottest street,58458,Dre,NA,Zuid,52.35883,4.86647,Entire home/apt,200,2,102,2020-07-14,0.91,1,355,High
179528,Authentic Amsterdam apartment RAI,856540,Pierre,NA,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,275,21,27,2019-11-18,0.24,2,0,High
182839,"Central, quiet, design apartment",876866,Marian,NA,Oud-Noord,52.38624,4.90067,Entire home/apt,125,30,15,2012-07-26,0.14,1,0,Low
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,NA,Centrum-West,52.37433,4.89247,Private room,113,2,186,2020-09-13,1.65,1,0,Low
193038,Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,935742,Johan,NA,Centrum-Oost,52.36057,4.89671,Private room,70,2,598,2020-09-20,5.31,1,85,Low
198307,The best spot to discover Amsterdam,967796,Marie-Katrien,NA,Centrum-West,52.38393,4.89237,Entire home/apt,129,3,41,2020-02-20,0.36,1,0,High
199844,ART & DESIGN APARTMENT,976652,Home,NA,Westerpark,52.38351,4.87573,Entire home/apt,99,5,42,2017-05-02,0.37,1,345,Low
200461,Studio next 2 VТДpark near Leidsepl.,539840,Johanna,NA,De Baarsjes - Oud-West,52.35931,4.86111,Entire home/apt,71,5,42,2020-10-31,0.37,1,0,Low
201322,TOP location with private terrace in old centre,542540,Bart,NA,Centrum-West,52.37184,4.88171,Entire home/apt,81,1,68,2020-11-27,0.61,1,5,Low
203658,Best Area - Large Luxury 3 Bdr Home,999036,Eelco,NA,Zuid,52.34744,4.86886,Entire home/apt,284,3,24,2017-07-02,0.22,1,0,High
